,date,station,humidity,wind,sunshine,temperature,aqi,status,month,year
85,2016-02-03,2,69.09708333333334,0.65125,120.03291666666668,10.527083333333332,23.4,3,2,2016
86,2016-02-03,3,62.411249999999995,1.0875,112.96625,12.271666666666667,22.8,3,2,2016
87,2016-02-03,4,59.94333333333335,1.3683333333333334,120.23999999999997,11.405000000000001,104.0,2,2,2016
88,2016-02-03,5,34.324583333333344,6.714583333333336,92.8925,14.055833333333338,22.5,0,2,2016
89,2016-02-03,6,63.83625,1.34875,99.7320833333333,11.596666666666666,144.7,2,2,2016
90,2016-02-04,1,76.3975,2.590833333333333,32.97833333333333,5.462499999999999,51.5,1,2,2016
91,2016-02-04,2,77.17666666666666,1.6637500000000003,21.166666666666668,5.850833333333333,39.5,1,2,2016
92,2016-02-04,3,74.99666666666668,2.10375,23.396666666666665,6.127499999999999,48.9,1,2,2016
93,2016-02-04,4,70.36958333333332,2.1445833333333333,37.29791666666667,-1.8512500000000005,78.1,1,2,2016
94,2016-02-04,5,74.06500000000001,4.766666666666667,56.875416666666666,3.4399999999999995,40.8,0,2,2016
95,2016-02-04,6,77.00291666666668,2.1837500000000003,27.753333333333334,5.176666666666666,59.7,1,2,2016
96,2016-02-05,1,90.62708333333332,1.8329166666666667,50.55458333333333,0.12374999999999999,67.4,1,2,2016
97,2016-02-05,2,86.26583333333332,0.9545833333333333,35.65541666666666,0.7654166666666664,23.2,1,2,2016
98,2016-02-05,3,88.49291666666666,0.4862500000000001,30.74416666666667,0.18916666666666668,33.5,1,2,2016
99,2016-02-05,4,89.52833333333335,1.3204166666666663,35.40291666666666,-0.5066666666666667,65.2,1,2,2016
100,2016-02-05,5,93.665,26.90041666666667,55.95499999999998,-0.9966666666666666,7.5,0,2,2016
101,2016-02-05,6,91.34541666666667,1.0641666666666667,46.57083333333333,0.3329166666666667,43.8,1,2,2016
102,2016-02-06,1,71.25083333333333,2.2220833333333334,125.14375000000001,0.7525,65.7,1,2,2016
103,2016-02-06,2,71.38291666666666,0.989583333333333,118.38041666666668,1.3249999999999995,47.2,1,2,2016
104,2016-02-06,3,71.12375000000002,1.1237499999999998,132.3470833333333,1.1279166666666665,43.8,1,2,2016
105,2016-02-06,4,70.00333333333333,2.134583333333333,105.39499999999998,0.07666666666666667,52.4,1,2,2016
106,2016-02-06,5,83.54375000000003,28.401666666666667,68.21416666666669,-0.6279166666666667,30.0,0,2,2016
107,2016-02-06,6,72.66125000000001,1.7325,104.72083333333335,0.6362500000000001,56.7,1,2,2016
108,2016-02-07,1,68.11125,1.32,145.22791666666666,0.5674999999999998,81.4,2,2,2016
109,2016-02-07,2,74.55833333333334,0.5829166666666666,124.22625,0.47291666666666643,43.0,2,2,2016
110,2016-02-07,3,68.71124999999999,0.6208333333333333,117.46833333333335,0.9683333333333333,13.7,3,2,2016
111,2016-02-07,4,68.3425,1.1016666666666668,131.6129166666667,-0.5758333333333332,31.6,3,2,2016
112,2016-02-07,5,44.211666666666666,2.8129166666666676,96.16416666666665,4.0095833333333335,27.5,0,2,2016
113,2016-02-07,6,68.12791666666666,1.0200000000000002,114.60666666666668,0.561666666666667,32.4,2,2,2016
114,2016-02-08,1,73.77583333333335,1.2420833333333332,124.21541666666666,1.7333333333333332,62.6,3,2,2016
115,2016-02-08,2,75.78625000000001,0.54375,103.41333333333331,1.5612500000000002,17.7,3,2,2016
116,2016-02-08,3,73.26333333333334,0.5700000000000001,103.10583333333334,2.038333333333333,135.1,3,2,2016
117,2016-02-08,4,74.27999999999999,1.0687499999999999,116.27208333333338,0.6829166666666665,108.3,3,2,2016
118,2016-02-08,5,47.90416666666667,3.2512499999999993,102.38166666666665,5.433333333333333,45.8,0,2,2016
119,2016-02-08,6,74.73416666666667,0.8933333333333334,105.90416666666668,1.5266666666666666,71.7,3,2,2016
120,2016-02-09,1,76.50083333333333,1.2829166666666667,125.53166666666665,3.76625,108.1,3,2,2016
121,2016-02-09,2,77.61208333333333,0.5654166666666667,109.47999999999996,-1.2008333333333334,95.9,3,2,2016
122,2016-02-09,3,74.71541666666666,0.6370833333333332,110.67999999999999,0.03500000000000018,153.8,3,2,2016
123,2016-02-09,4,73.25375000000001,1.0208333333333335,112.21083333333333,3.46625,119.1,3,2,2016
124,2016-02-09,5,48.353333333333325,5.026249999999999,103.19125000000003,7.915416666666666,38.3,0,2,2016
125,2016-02-09,6,76.26708333333333,1.0133333333333334,106.56166666666668,3.7916666666666665,108.1,3,2,2016
126,2016-02-10,1,75.46166666666666,2.3608333333333342,35.403333333333336,5.944166666666667,103.3,2,2,2016
127,2016-02-10,2,75.17208333333333,1.42,47.69833333333335,4.214166666666666,89.3,1,2,2016
128,2016-02-10,3,73.79208333333334,1.5925,75.32791666666668,5.144583333333333,1.5,3,2,2016
129,2016-02-10,4,69.86208333333333,2.456666666666667,78.45625000000001,6.432916666666667,1.1,3,2,2016
